,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
641,Hiphopanonymous,Railroad Slab > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111372545/hiphopanonymous,2.0,-1,Boulder,V3+,1,8.0,43.42004,-89.73747,1,496,6,"Dec1,2015"
642,Metric Measures,Science Friction > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106597674/metric-measures,1.8,-1,Boulder,V2,1,,43.42579,-89.72583,5,917,6,"Nov10,2009"
643,Loonie Boulder,09. Mountie's Bounty Area > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111015155/loonie-boulder,2.0,-1,Boulder,V0,1,,43.40491,-89.71581,1,504,5,"Sep12,2015"
644,Veasy,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106508993/veasy,2.0,-1,Boulder,V0,1,,43.41885,-89.73700000000001,1,927,6,"Aug5,2009"
645,Sad Dad Bar,Sad Dad Bar > 07. Midwest Connection Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111015029/sad-dad-bar,2.0,-1,Boulder,V0,1,,43.403909999999996,-89.72124000000001,1,498,5,"Sep12,2015"
646,Wanna Be Corner,"Wanna Be > 5.  Above and Beyond > West Bluff North, upper access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/111102176/wanna-be-corner,2.0,-1,Boulder,V0,1,,43.424,-89.73728,1,492,5,"Oct1,2015"
647,Cold Feet,"Chilldo > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/110258365/cold-feet,2.0,-1,Boulder,V3,1,10.0,43.428020000000004,-89.73584,1,523,5,"Mar29,2015"
648,Talus Walker,"Talus Walker > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/110579605/talus-walker,2.0,-1,Boulder,V2,1,,43.42773,-89.73585,1,501,5,"Jun6,2015"
649,Sketch Slab,Rampart Roof > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107438196/sketch-slab,2.0,-1,Boulder,V3 PG13,1,12.0,43.413509999999995,-89.71379,1,695,5,"Jan15,2012"
650,Beagle,Galapagos Cluster > 07. Midwest Connection Talus > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111014992/beagle,2.0,-1,Boulder,V0,1,,43.40406,-89.72053000000001,1,457,5,"Sep12,2015"
651,Spirit Fingers,Spirit Fingers > 13. Mirror Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109612059/spirit-fingers,2.0,-1,Boulder,V1,1,10.0,43.416959999999996,-89.72573,1,503,5,"Oct20,2014"
652,Half Dome Corner,Half Dome Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106800487/half-dome-corner,2.0,-1,Boulder,V3,1,,43.42008,-89.7365,1,770,5,"Jun17,2010"
653,The High-Low,"Warbler > 7.  Massive Vertigo Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109059323/the-high-low,2.0,-1,Boulder,V2 PG13,1,,43.42426,-89.73664000000001,1,517,5,"Jun3,2014"
654,Blair's Arete,"Warbler > 7.  Massive Vertigo Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109059312/blairs-arete,2.0,-1,Boulder,V2,1,,43.42426,-89.73664000000001,1,510,5,"Jun3,2014"
655,"Face left of ""The Scoop""",Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106486212/face-left-of-the-scoop,2.0,-1,Boulder,V3-,1,14.0,43.4,-89.74329,1,772,5,"Jul12,2009"
656,Snack Room,Levitation (Office Project) > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/109581572/snack-room,2.0,-1,Boulder,V1 PG13,1,15.0,43.419290000000004,-89.7259,1,466,5,"Oct13,2014"
657,Z's Face,Z's > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108794492/zs-face,2.0,-1,Boulder,V2,1,12.0,43.4127,-89.7132,1,475,4,"Mar29,2014"
658,White Vein,Pulling Downs > 05. CCC Grottos > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108794469/white-vein,2.0,-1,Boulder,V3,1,14.0,43.41237,-89.71467,1,471,4,"Mar29,2014"
659,Misery Pillar Face,11. Lincoln's Chair Pillar > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108366374/misery-pillar-face,2.0,-1,Boulder,V2,1,,43.4158,-89.73879000000001,1,481,4,"Oct2,2013"
660,2nd Wind,2nd Wind > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108071255/2nd-wind,2.0,-1,Boulder,V3,1,,43.41272,-89.71128,1,506,4,"Apr3,2013"
661,I've Got Wrinkles,07. Hidden Peak Strikes > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108284393/ive-got-wrinkles,2.0,-1,Boulder,V1+,1,7.0,43.4188,-89.73680999999999,1,486,4,"Aug11,2013"
662,The Undertaker Arete,Orgasm Boulder > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108056293/the-undertaker-arete,2.0,-1,Boulder,V3 PG13,1,,43.41353,-89.71455999999999,1,471,4,"Mar25,2013"
663,52 to 1,The Twins > 13. Mirror Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107558697/52-to-1,2.0,-1,Boulder,V0,1,10.0,43.419109999999996,-89.72643000000001,1,498,4,"Apr14,2012"
664,Purple Roof,Sea of Purple > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107300630/purple-roof,2.0,-1,Boulder,V3,1,,43.412929999999996,-89.71311999999999,1,503,4,"Sep25,2011"
665,Fill the Void,Pete's Pebble > 500 ft. Boulder Field > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107261583/fill-the-void,2.0,-1,Boulder,V2,1,,43.42116,-89.7354,1,503,4,"Aug26,2011"
666,The Bear's Den,Upper Slant Boulder Field > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106546296/the-bears-den,2.0,-1,Boulder,V2,1,,43.4211,-89.73704000000001,1,552,3,"Sep15,2009"
667,Pre-Party,Block Party > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107082237/pre-party,2.0,-1,Boulder,V1,1,,43.41345,-89.7225,1,480,3,"Mar28,2011"
668,The Mountain Goat,Upper Slant Boulder Field > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106800509/the-mountain-goat,2.0,-1,Boulder,V2-3,1,,43.4211,-89.73704000000001,1,504,3,"Jun17,2010"
669,Upper Block,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106436646/upper-block,1.8,-1,Boulder,V0,1,,43.42818,-89.73615,5,537,3,"May19,2009"
670,The Deserter,The Bunker > 02. Horse Rampart Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106930052/the-deserter,2.0,-1,Boulder,V0,1,15.0,43.415729999999996,-89.72516,1,473,3,"Oct19,2010"
671,House On The Rock,House on the Rock > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106539417/house-on-the-rock,2.0,-1,Boulder,V2,1,,43.42042,-89.73739,1,506,3,"Sep8,2009"
672,Pine Needle Arete,Half Dome Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106600447/pine-needle-arete,2.0,-1,Boulder,V0,1,,43.42008,-89.7365,1,488,3,"Nov13,2009"
673,5.6,Triple Tower Wall > Steinke Basin > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106488643/56,2.0,-1,Boulder,V0,1,,43.4263,-89.71799999999999,1,499,3,"Jul14,2009"
674,West Face,Cornerstone > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106539762/west-face,2.0,-1,Boulder,V0,1,,43.42026,-89.73724,1,491,3,"Sep8,2009"
675,Cornerstone,Cornerstone > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106539751/cornerstone,2.0,-1,Boulder,V3,1,,43.42026,-89.73724,1,481,3,"Sep8,2009"
676,Top-Off,Yo Shorty > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106588085/top-off,2.0,-1,Boulder,V2,1,,43.42088,-89.73639,1,473,3,"Nov2,2009"
677,Shadow Wall,13. Boomtown > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106623920/shadow-wall,2.0,-1,Boulder,V2+,1,12.0,43.39653,-89.72373,1,469,3,"Dec8,2009"
678,Hambone Arete,Wiessner Wall > West Bluff 03 - Cleo Amphitheater > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105815552/hambone-arete,2.0,-1,Boulder,V0-1 PG13,1,12.0,43.41753,-89.73823,1,596,3,"Apr14,2006"
679,Spare Change,Railroad Slab > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106539809/spare-change,2.0,-1,Boulder,V3,1,,43.42004,-89.73747,1,466,3,"Sep8,2009"
680,Wiessner Boulder,Wiessner Wall > West Bluff 03 - Cleo Amphitheater > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105815547/wiessner-boulder,2.0,-1,Boulder,V0-1 PG13,1,12.0,43.41753,-89.73823,1,576,3,"Apr14,2006"
681,Eject,06. Ejaculator Area > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106140867/eject,2.0,-1,Boulder,V3,1,12.0,43.40376,-89.72385,1,491,3,"Apr14,2008"
682,Little Fingers,Dumpster Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105791970/little-fingers,1.5,-1,Boulder,V1,1,10.0,43.4203,-89.73666,11,484,2,"Jan29,2006"
683,Sweet potato pastry,2nd Wind > 06. West of CCC Trail > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123239531/sweet-potato-pastry,2.0,-1,Boulder,V0-1,1,8.0,43.41272,-89.71128,2,54,9,"Oct13,2022"
684,Inspector Clouseau,3. Monolith Blocks > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123337863/inspector-clouseau,2.0,-1,Boulder,V1,1,20.0,43.42168,-89.72414,1,92,17,"Oct28,2022"
685,Triceratops Left,07: Prehistoric Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123281410/triceratops-left,2.0,-1,Boulder,V2,1,9.0,43.4178,-89.72714,1,54,9,"Oct19,2022"
686,Banana Nut Duck Bread,Hog Wild > 04. Pork Chop > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123293245/banana-nut-duck-bread,2.0,-1,Boulder,V2,1,,43.416540000000005,-89.73844,1,70,12,"Oct21,2022"
687,Manure Maneuver,2. Farmer's Wall > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123391830/manure-maneuver,2.5,-1,Boulder,V2,1,10.0,43.413140000000006,-89.71199,2,59,11,"Nov6,2022"
688,Expose Yourself,"El Parasol > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107618136/expose-yourself,1.4,-1,Boulder,V2,1,,43.427659999999996,-89.73581,9,622,5,"May21,2012"
689,Hazy Warmup,Purple Haze > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107098058/hazy-warmup,1.6,-1,Boulder,V0,1,10.0,43.41287,-89.72122,8,665,5,"Apr11,2011"
690,Pillar Left of Venus Rising,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106962740/pillar-left-of-venus-rising,1.1,-1,Boulder,V0,1,,43.42157,-89.72333,19,1081,7,"Nov16,2010"
691,The Fridge direct,"El Parasol > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107610999/the-fridge-direct,1.4,-1,Boulder,V3,1,,43.427659999999996,-89.73581,11,672,5,"May16,2012"
692,Pedestal Mantle,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106274044/pedestal-mantle,1.3,-1,Boulder,V-easy,1,,43.40436,-89.72961,16,1049,6,"Oct10,2008"
693,Cow Pie,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/117972014/cow-pie,1.7,-1,Boulder,V-easy,1,8.0,43.42157,-89.72333,6,451,11,"Oct31,2019"
694,Everything Is V3,"Everything Is > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/120720146/everything-is-v3,1.8,-1,Boulder,V3,1,8.0,43.42795,-89.73577,4,229,10,"May16,2021"
695,Let's Go Fly a Kite (Direct),The Kite > 5. Kite Boulders > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112295937/lets-go-fly-a-kite-direct,1.8,-1,Boulder,V0+,1,7.0,43.42086,-89.72442,4,576,7,"Nov6,2016"
696,Mouthin' off,Meth Mouth > 01. Surprise > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112289491/mouthin-off,1.8,-1,Boulder,V0,1,15.0,43.40951,-89.74256,4,489,6,"Nov4,2016"
697,Small Warm-up,Greatest Show Boulders > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/110302914/small-warm-up,1.8,-1,Boulder,V0,1,,43.424620000000004,-89.72344,4,604,6,"Apr7,2015"
698,Reef on This,4. Show Me the Kind > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435335/reef-on-this,1.8,-1,Boulder,V2,1,12.0,43.42699,-89.72633,4,677,4,"May18,2009"
699,Pony Ride,Bulbous > 01. Balanced Rock Trail > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106851089/pony-ride,1.8,-1,Boulder,V2,1,12.0,43.4145,-89.72334000000001,4,574,4,"Aug7,2010"
700,Just Another Sick Old New Rig Left,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111860681/just-another-sick-old-new-rig-left,1.6,-1,Boulder,V1,1,9.0,43.42157,-89.72333,7,759,9,"May18,2016"
701,Center Face,08. Hogleg/Anchorpoint > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106508982/center-face,1.6,-1,Boulder,V2,1,,43.41885,-89.73700000000001,7,977,6,"Aug5,2009"
702,The Clinger,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107331942/the-clinger,1.4,-1,Boulder,V0,1,10.0,43.4,-89.74329,10,1094,8,"Oct17,2011"
703,V1 Face,Greatest Show Boulders > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435346/v1-face,1.6,-1,Boulder,V1,1,,43.424620000000004,-89.72344,9,860,5,"May18,2009"
704,Textured Face Right,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106811632/textured-face-right,1.4,-1,Boulder,V0,1,,43.41383,-89.7149,9,894,6,"Jun29,2010"
705,Little Rhombus,Rhombus > 01. South Shore Talus > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120359293/little-rhombus,1.7,-1,Boulder,V1,1,,43.41375,-89.72379000000001,3,187,7,"Mar6,2021"
706,Mezzanine Arete,5. Anarchist (Guillotine) > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111719608/mezzanine-arete,1.7,-1,Boulder,V0,1,12.0,43.41325,-89.71177,3,694,8,"Mar23,2016"
707,Surprise Slab,Surprise Boulder > 01. Surprise > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112281467/surprise-slab,1.7,-1,Boulder,V0,1,10.0,43.41005,-89.74219000000001,3,513,7,"Nov1,2016"
708,Beer Buzz,4. Flatiron > 07. East of CCC (Guillotine Ridge) > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106573193/beer-buzz,1.7,-1,Boulder,V2,1,,43.41338,-89.71207,3,1042,6,"Oct17,2009"
709,Fatterpillar,To Crimp a Butterfly > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111372446/fatterpillar,2.5,-1,Boulder,V1 PG13,1,14.0,43.419909999999994,-89.73778,2,533,6,"Dec1,2015"
710,Centerpede,Amazing Pillar > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107599366/centerpede,1.7,-1,Boulder,V1,1,,43.4036,-89.73416999999999,3,720,5,"May8,2012"
711,For the Little People,Winter Blues > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106597731/for-the-little-people,1.7,-1,Boulder,V0,1,,43.42621,-89.72622,3,792,5,"Nov10,2009"
712,Fresh Air,Fresh Air > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106597601/fresh-air,2.0,-1,Boulder,V1-,1,,43.42559,-89.72609,4,794,5,"Nov10,2009"
713,Suck on the Juice,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109235233/suck-on-the-juice,1.7,-1,Boulder,V3,1,,43.42818,-89.73615,3,498,5,"Jul16,2014"
714,The Plank,Whaler's Rock > 14. The Lost & Found (Neck Oil Wall) > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107574797/the-plank,1.7,-1,Boulder,V1,1,15.0,43.41838,-89.72568000000001,3,515,4,"Apr23,2012"
715,Another Nice Arete,Dumpster Boulder > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107093494/another-nice-arete,1.7,-1,Boulder,V0,1,,43.4203,-89.73666,3,523,4,"Apr7,2011"
716,West Face,Amazing Pillar > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106272416/west-face,1.7,-1,Boulder,V2,1,,43.4036,-89.73416999999999,3,618,3,"Oct8,2008"
717,Headstone,Headstone > 500 ft. Boulder Field > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106514796/headstone,1.7,-1,Boulder,V0 PG13,1,,43.419909999999994,-89.73623,3,494,3,"Aug12,2009"
718,VB,The Reserve > 03. The Reserve > South Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/120598557/vb,1.4,-1,Boulder,V0,1,,43.40436,-89.72961,7,268,11,"Apr24,2021"
719,Dirty North,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107114522/dirty-north,1.4,-1,Boulder,V1,1,12.0,43.42818,-89.73615,7,551,4,"Apr25,2011"
720,Tilted Boulder Slab,"1.  Smooth Operator Area > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/106436663/tilted-boulder-slab,1.4,-1,Boulder,V0-,1,,43.42818,-89.73615,7,580,3,"May19,2009"
721,Right Arete,Fire Road Boulder > South of Fire Road > West Bluff Fire Road > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108887894/right-arete,1.5,-1,Boulder,V0,1,,43.421859999999995,-89.74337,4,468,4,"Apr22,2014"
722,Closer to Coal,Diamond in the Rough > 2. East Bluff North Talus > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107757684/closer-to-coal,1.4,-1,Boulder,V3,1,,43.42522,-89.72545,5,683,5,"Aug20,2012"
723,Wiceps,Greatest Bluff > 3. Greatest Show > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/112252834/wiceps,1.4,-1,Boulder,V1,1,12.0,43.42563,-89.7246,8,723,9,"Oct22,2016"
724,Close the Trenchcoat,"El Parasol > 2.  Fat Raccoon > West Bluff North, lower access > West Bluff North > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/107618194/close-the-trenchcoat,1.1,-1,Boulder,V3,1,,43.427659999999996,-89.73581,8,611,5,"May21,2012"
725,Horse Pens Special,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121641859/horse-pens-special,1.5,-1,Boulder,V2,1,13.0,43.4,-89.74329,2,234,14,"Nov15,2021"
726,Off Width His Head!,5.4 - Doorway Rocks - Minor Mass > East Bluff 05 - Potholes Area > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114507286/off-width-his-head,1.5,-1,Boulder,V1,1,18.0,43.41411,-89.71906,2,706,12,"Jun21,2018"
727,V2me2,Fukness (aka Heartbreak) > 04. Birthday Talus > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122544215/v2me2,1.5,-1,Boulder,V2,1,,43.41695,-89.72691,2,74,7,"Jun10,2022"
728,Slab Sitty,08. Railroad Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/122428965/slab-sitty,1.5,-1,Boulder,V3+,1,,43.41813,-89.72721999999999,2,81,7,"May20,2022"
729,Railroad Slab,08. Railroad Amphitheater > East Bluff South > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/121541909/railroad-slab,1.5,-1,Boulder,V0,1,,43.41813,-89.72721999999999,2,153,9,"Oct27,2021"
730,Mainline,To Crimp a Butterfly > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119473707/mainline,1.5,-1,Boulder,V2,1,,43.419909999999994,-89.73778,2,255,8,"Aug30,2020"
731,Snapper Stew,World War Z > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/119478398/snapper-stew,1.5,-1,Boulder,V2,1,,43.42006,-89.738,2,254,8,"Aug31,2020"
732,The Deep End,The Pool > Above 500 Foot > West Bluff Central > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/118967521/the-deep-end,1.5,-1,Boulder,V1-2,1,,43.42004,-89.73738,2,280,8,"Jun1,2020"
