,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,votes,view,view_month,date
50,Slabby McGee,07. Hidden Peak Strikes > West Bluff South > West Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/108284397/slabby-mcgee,4.0,-1,Boulder,V-easy,1,5.0,43.4188,-89.73680999999999,1,588,5,"Aug11,2013"
51,Soul Satori,2. Thin Man Corridor > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730982/soul-satori,3.8,-1,Boulder,V0,1,20.0,43.42248,-89.72426,5,1161,5,"Apr22,2004"
52,Freaky Flake,Mega Slab Boulder > Heart of Stones > 05. CCC Grottos > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/123493732/freaky-flake,4.0,-1,Boulder,V0- PG13,1,,43.4132,-89.71377,1,46,10,"Nov26,2022"
53,Welcome Crack 1,2. Welcome to the Lake! > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/111401462/welcome-crack-1,2.1,-1,Boulder,V0,1,12.0,43.42737,-89.72684,38,1087,12,"Dec9,2015"
54,Footstone,2. Leaning Tower/Tombstone Wall > 08. East Rampart > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435635/footstone,2.5,-1,Boulder,V2,1,,43.41383,-89.7149,30,1487,9,"May18,2009"
55,Shawn's Slab,4. Monolith Ridge - East Side > 6. Monolith Ridge > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435458/shawns-slab,2.1,-1,Boulder,V0,1,,43.42157,-89.72333,39,1757,10,"May18,2009"
56,Plumage,11. Vulture Lookout East > East Bluff South Face > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/114300305/plumage,3.5,-1,Boulder,V2,1,,43.41357,-89.70137,10,892,15,"Apr25,2018"
57,Emily's Naptime,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/106435290/emilys-naptime,2.2,-1,Boulder,V1+,1,18.0,43.427479999999996,-89.72686,35,1123,7,"May18,2009"
58,Banana Split,Burma Road > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/107156854/banana-split,2.8,-1,Boulder,V3,1,18.0,43.4,-89.74329,24,1296,9,"May31,2011"
59,Horseshoes & Hand Grenades,1. Earth Mechanics > 1. North Shore > East Bluff North > East Bluff > Devil's Lake Bouldering > Devil's Lake > Baraboo Range > Wisconsin,https://www.mountainproject.com/route/105730679/horseshoes-hand-grenades,2.3,-1,Boulder,V2,1,15.0,43.427479999999996,-89.72686,33,1386,5,"May29,2002"
