Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Platypus,"I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108412937/platypus,3.1,-1,Boulder,V8,1,,37.61837,-89.41271
"Pub Crawl","H: The Bar Stool > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111305543/pub-crawl,2.5,-1,Boulder,V2-,1,10,37.61591,-89.41086
"Davey Crockett","A: Alamo Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112464535/davey-crockett,3.6,-1,Boulder,V6,1,17,37.61231,-89.40925
Bowfin,"W: Bowfin Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112510411/bowfin,3.2,-1,Boulder,V6,1,16,37.61896,-89.41333
"Mike Jones","B: Texas Revolution Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121243249/mike-jones,3.5,-1,Boulder,V1,1,,37.61273,-89.40917
"Weight of the World","D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112244295/weight-of-the-world,3.0,-1,Boulder,V6,1,,37.61452,-89.40935
"Bioterrorism Right","O: Bio-Terrorism Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121607883/bioterrorism-right,3.1,-1,Boulder,V3,1,10,37.61886,-89.41456
"Bubble Wrap","M: Bubble Wrap Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111911332/bubble-wrap,2.9,-1,Boulder,V7,1,12,37.61798,-89.41305
Abra,"R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/117994171/abra,3.0,-1,Boulder,V2,1,15,37.61824,-89.41325
"Saccharine Crack","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113865966/saccharine-crack,3.5,-1,Boulder,V5-6,1,,37.61837,-89.41271
"Light as a Feather","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112449478/light-as-a-feather,3.5,-1,Boulder,"V8 R",1,30,37.61824,-89.41325
"Moon Boots","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112244299/moon-boots,2.5,-1,Boulder,V1-2,1,,37.61837,-89.41271
"Bowfin Left","W: Bowfin Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121692028/bowfin-left,3.5,-1,Boulder,V5,1,16,37.61896,-89.41333
"Twin Eagles","T: Brown Recluse Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112464343/twin-eagles,3.5,-1,Boulder,"V7 R",1,26,37.61793,-89.41492
"Between Two Ferns","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108409003/between-two-ferns,2.1,-1,Boulder,V2,1,,37.61524,-89.41119
Boomer,"L: Mollusk Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113791796/boomer,2.0,-1,Boulder,V1,1,,37.61563,-89.41242
"Worm's Way Stand","G: Worms Way > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112297607/worms-way-stand,2.5,-1,Boulder,V1,1,10,37.61591,-89.41039
Windfall,"A: Alamo Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112488609/windfall,2.9,-1,Boulder,V4,1,15,37.61231,-89.40925
V1,"D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112244269/v1,2.3,-1,Boulder,V1,1,,37.61452,-89.40935
"Shadow of a Man Sit","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112802515/shadow-of-a-man-sit,2.8,-1,Boulder,V6,1,16,37.61583,-89.41048
"One and Done","A: Alamo Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112791512/one-and-done,3.3,-1,Boulder,V7,1,16,37.61231,-89.40925
"Con Artist","L: Mollusk Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312142/con-artist,2.9,-1,Boulder,V7,1,10,37.61563,-89.41242
"Stand Up to the Right","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112471698/stand-up-to-the-right,3.3,-1,Boulder,V5,1,20,37.61824,-89.41325
"Empty Nest Syndrome","U: Vultures Nest Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112392654/empty-nest-syndrome,3.3,-1,Boulder,V6,1,7,37.61953,-89.41095
"Feed Me, Seymore","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408989/feed-me-seymore,2.3,-1,Boulder,V2-3,1,,37.61524,-89.41119
"Fading Light","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120276174/fading-light,3.0,-1,Boulder,V7-8,1,10,37.61837,-89.41271
V0,"Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121996155/v0,3.0,-1,Boulder,V0,1,20,37.61516,-89.40749
"There Is No Try","N: Star Wars Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113757364/there-is-no-try,2.4,-1,Boulder,V1,1,,37.61689,-89.41299
"Armageddon 5000","C: Red Sea Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112392181/armageddon-5000,3.3,-1,Boulder,V11,1,14,37.61327,-89.41019
"Bioterrorism Left","O: Bio-Terrorism Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112460458/bioterrorism-left,2.9,-1,Boulder,V4-5,1,13,37.61886,-89.41456
"The Lesser Line","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408297/the-lesser-line,2.4,-1,Boulder,V5,1,7,37.61837,-89.41271
"V2 (I)","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408801/v2-i,2.7,-1,Boulder,V2,1,10,37.61524,-89.41119
Olympus,"D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120053474/olympus,3.0,-1,Boulder,V0,1,15,37.61452,-89.40935
"Community Service","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112449371/community-service,3.0,-1,Boulder,V5,1,14,37.61524,-89.41119
Ogygia,"D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/116137730/ogygia,2.5,-1,Boulder,V3+,1,,37.61452,-89.40935
Narwhal,"I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112396780/narwhal,2.6,-1,Boulder,V8,1,8,37.61837,-89.41271
"The Real ""Hot Rats""","Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121307290/the-real-hot-rats,3.0,-1,Boulder,V6-7,1,,37.61516,-89.40749
Rotel,"B: Texas Revolution Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112482312/rotel,3.0,-1,Boulder,V5,1,16,37.61273,-89.40917
"Fat Lip","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112811910/fat-lip,2.4,-1,Boulder,V3,1,14,37.61583,-89.41048
"Killer Babies","G: Worms Way > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408226/killer-babies,3.0,-1,Boulder,V10,1,15,37.61591,-89.41039
"Willie the Pimp","Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120496661/willie-the-pimp,3.0,-1,Boulder,V4+,1,10,37.61516,-89.40749
"Glutes Are Aid","Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/118683218/glutes-are-aid,3.0,-1,Boulder,V0,1,10,37.61516,-89.40749
"The Lemon of Pink","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112802557/the-lemon-of-pink,3.0,-1,Boulder,V4,1,18,37.61824,-89.41325
"Holy Mackerel","W: Bowfin Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/121692096/holy-mackerel,3.0,-1,Boulder,V5,1,16,37.61896,-89.41333
"Death Star Center","N: Star Wars Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113757328/death-star-center,2.1,-1,Boulder,V0,1,,37.61689,-89.41299
"King's High","Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312348/kings-high,3.3,-1,Boulder,V8,1,,37.61699,-89.41109
"Sweet ass, man","Y: The Sinkhole > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/123359314/sweet-ass-man,3.0,-1,Boulder,V3,1,12,37.61516,-89.40749
Gatekeeper,"V: Open Gates Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113667780/gatekeeper,2.7,-1,Boulder,V7,1,12,37.61992,-89.41143
"Big Mitch","C: Red Sea Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112802474/big-mitch,2.7,-1,Boulder,V5,1,16,37.61327,-89.41019
"Son of the Morning","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/119980883/son-of-the-morning,3.0,-1,Boulder,V8,1,12,37.61837,-89.41271
"Dirty Water Dog","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108408849/dirty-water-dog,2.7,-1,Boulder,V3-4,1,,37.61524,-89.41119
"Evil Empire","G: Worms Way > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112449409/evil-empire,3.0,-1,Boulder,V8,1,30,37.61591,-89.41039
"Davenport of a Man","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120229377/davenport-of-a-man,3.0,-1,Boulder,V6+,1,20,37.61583,-89.41048
"The Realm","Q: Illuminati Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112392544/the-realm,3.0,-1,Boulder,"V7 PG13",1,17,37.61699,-89.41109
"50 Cent","T: Brown Recluse Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120152748/50-cent,3.0,-1,Boulder,"V5-6 R",1,20,37.61793,-89.41492
"Worm's End","G: Worms Way > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312188/worms-end,3.0,-1,Boulder,V11,1,20,37.61591,-89.41039
"Odd Job","J: Tyler Durden Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112392195/odd-job,3.0,-1,Boulder,V8,1,14,37.61607,-89.41122
"Vans Required","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/122529734/vans-required,3.0,-1,Boulder,"V2 R",1,20,37.61837,-89.41271
"Vulture Fest","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112392211/vulture-fest,3.0,-1,Boulder,V6,1,16,37.61583,-89.41048
"Follow Tyler","S1: Cliffline Problems The Arete > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/122529832/follow-tyler,3.0,-1,Boulder,"5.8 V3 R",1,30,37.6161,-89.41057
"Up In Smoke","G: Worms Way > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/120579756/up-in-smoke,3.0,-1,Boulder,"V5 PG13",1,18,37.61591,-89.41039
"Relationship Problems","D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/123249507/relationship-problems,3.0,-1,Boulder,V3,1,15,37.61452,-89.40935
"Boba Fett","N: Star Wars Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113743084/boba-fett,2.4,-1,Boulder,V2,1,,37.61689,-89.41299
"The Fisherman, right variation","K: Brown Cow Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111289375/the-fisherman-right-variation,2.4,-1,Boulder,V2,1,,37.61524,-89.41119
B-Cup,"S: Cliffline Problems > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112464109/b-cup,2.5,-1,Boulder,V4,1,8,37.61861,-89.41092
"Far Nearer","E: 911 Aretes > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108577938/far-nearer,2.6,-1,Boulder,V6,1,7,37.61556,-89.41024
"Free Hugs","U: Vultures Nest Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/109363137/free-hugs,2.3,-1,Boulder,V2-3,1,,37.61953,-89.41095
"Secret of Davenport","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312199/secret-of-davenport,2.3,-1,Boulder,V6,1,8,37.61583,-89.41048
V4,"J: Tyler Durden Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/118164913/v4,2.8,-1,Boulder,V4,1,,37.61607,-89.41122
"Sad Tilly","I: Public Enemy Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/119877808/sad-tilly,2.8,-1,Boulder,V1+,1,20,37.61837,-89.41271
"2 Fast 2 Furious","D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112244292/2-fast-2-furious,2.8,-1,Boulder,V5,1,,37.61452,-89.40935
Bubbles,"S: Cliffline Problems > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112449438/bubbles,2.8,-1,Boulder,V4,1,15,37.61861,-89.41092
"V2 Slab","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111499247/v2-slab,2.6,-1,Boulder,V2,1,15,37.61583,-89.41048
Presto,"R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112536169/presto,2.6,-1,Boulder,V3,1,14,37.61824,-89.41325
"Comfortably Numb Arete","F: Shadow of a Man Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312237/comfortably-numb-arete,2.5,-1,Boulder,V5,1,15,37.61583,-89.41048
"911 Arete","E: 911 Aretes > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108587338/911-arete,2.2,-1,Boulder,V2,1,8,37.61556,-89.41024
"One Scotch","H: The Bar Stool > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/111305477/one-scotch,1.6,-1,Boulder,V0-,1,8,37.61591,-89.41086
"Worm's Way","G: Worms Way > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108312166/worms-way,2.7,-1,Boulder,V9-10,1,15,37.61591,-89.41039
"No Disintegrations","N: Star Wars Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/113757316/no-disintegrations,2.1,-1,Boulder,V0,1,,37.61689,-89.41299
"Avant Gardener","R: Jump for Jesus Area > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112802413/avant-gardener,2.5,-1,Boulder,V1,1,18,37.61824,-89.41325
"Peace Pipe","U: Vultures Nest Boulders > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/108606884/peace-pipe,2.7,-1,Boulder,V3+,1,8,37.61953,-89.41095
Cerberus,"D: Atlas Boulder > *The Holy Boulders > Illinois",https://www.mountainproject.com/route/112469755/cerberus,2.5,-1,Boulder,V2,1,10,37.61452,-89.40935
